kode_produk,HNA,HET,UOM,berat_gram,panjang_cm,lebar_cm,tinggi_cm,is_life_saving,volume_cm3,kategori_pengiriman
SOFF006,288150,389002.5,PAK,330,4,3,30,0,"3,465",3
SOFF007,362100,488835,PAK,500,5,4,4,0,"5,198",3
SOFF008,509490,687811.5,PAK,250,3,2,2,0,"2,599",3
DELT061,775157.5,1046463.05,BOX,450,27,10,28,0,10,3
DELT062,920762.5,1243029.8,BOX,370,27,16,28,0,15,3
LEUK065,173867.5,234721.55,ROL,60,8,3,8,0,265,3
LEUK066,173867.5,234721.55,ROL,96,8,6,8,0,467,3
LEUK068,173867.5,234721.55,ROL,140,8,8,8,0,514,3
LEUK078,173867.5,234721.55,ROL,1,8,8,6,0,352,3
LEUK079,173867.5,234721.55,ROL,1,8,8,6,0,352,3
TENS007,245140,330939,ROL,150,8,16,9,0,"1,728",02-A
TENS008,208462.5,281424.8,ROL,100,7,14,7,0,694,02-A
TENS011,327080,441558,ROL,160,21,9,9,0,"1,770",02-A
COMP009,78752.5,106316.3,ROL,80,7,7,9,0,475,3
COMP010,89972.5,121463.3,ROL,100,7,7,11,0,577,3
COMP003,246415,332660.25,PSG,100,24,14,3,0,701,02-A
COMP004,251132.5,339029.3,PSG,100,24,14,3,0,701,02-A
COMP005,253470,342184.5,PSG,100,24,14,3,0,701,02-A
ACTI010,121975,164666.25,PCS,65,23,14,4,0,"1,988",3
ACTI011,121975,164666.25,PCS,183.33,23,14,4,0,877,3
ACTI012,121975,164666.25,PCS,120,14,4,23,0,717,3
ACTI013,121975,164666.25,PCS,140,14,4,22,0,"1,480",3
ACTI026,1264927.5,1707652.55,PCS,600,16,10,26,0,"4,970",3
ACTI027,1264927.5,1707652.55,PCS,640,28,9,21,0,"6,448",3
ACTI028,1264927.5,1707652.55,PCS,680,9,28,21,0,"6,378",3
ACTI029,1346867.5,1818271.55,PCS,750,28,21,9,0,"4,466",3
ACTI002,157802.5,213033.8,PCS,20,9,5,62,0,"1,292",02-A
ACTI003,157802.5,213033.8,PCS,65,33,6,13,0,"2,445",02-A
ACTI004,157802.5,213033.8,PCS,65,10,7,32,0,"2,277",02-A
ACTI063,565717.5,763719.05,PCS,260,60,25,1,0,"2,873",3
ACTI064,565717.5,763719.05,PCS,260,60,25,1,0,"2,873",3
ACTI015,178202.5,240573.8,PCS,150,26,16,5,0,"2,056",3
ACTI016,178202.5,240573.8,PCS,180,26,16,4,0,"2,125",3
ACTI106,1221322.5,1648785.8,BOX,530,14,6,34,0,"3,946",3
ACTI107,1221322.5,1648785.8,BOX,560,14,6,34,0,"3,946",3
